Word,Meaning,Example,Checked,Column5,Column6
blast it!,used for showing that you are angry,"Oh, blast! I'm still 20 cents short. Oh blast it! I forgot to ring Laura.",0.0,,
transponder,a piece of electronic equipment used for communicating with radio or radar. It sends a reply every time that it receives a signal.,"Aircraft are required by law to carry transponders, so that they can be identified.",0.0,,
hopping mad,fume; to be extremely angry about something but try not to show other people how angry you are,Premier Kissoff's calling again and is hopping mad.,0.0,,
home in on,to aim for and move directly toward something or someone,Homing alignment factor to zero mode. The missile homed in on the ship.,0.0,,
clobber,to hit hard; 2 defeat,... just looking for an excuse to clobber us. A severe storm clobbered the region.,0.0,,
over and out,said when you are talking to someone by radio in order to end the conversation,"This is SAC Communications Control, over and out. ""Thank you, control tower. Over and out.""",0.0,,
jam,"to block a radio, television, or other electronic signal by broadcasting another signal on the same wavelength",Im sorry they're jamming your radar and flying so low... but they're trained to do it...,0.0,,
barrel,to travel or move very fast,We were barreling along at 80 miles an hour.,0.0,,
frame,a person’s body when referring to its size or structure,"Can you possibly imagine what is gonna happen to you... your frame, outlook, way of life and everything?",0.0,,
impart,to give something a particular quality,... to foster and impart the required principles of leadership and tradition. Cooking on charcoal imparts a distinctive smoky flavour to your meat.,0.0,,
shoot off,to leave a place quickly or suddenly,My daughter will shoot off an e-mail before she’ll sit down and write a letter. (send quickly),0.0,,
give a hoot,to care,Many of my friends don’t give a hoot about college basketball. I don't give a hoot in hell how you do it. I don't give a hoot who wins the election.,0.0,,
ident,an image or short film shown on television which tells you which channel you are watching,Roger. Six miles. Pulse ident transponder active.,0.0,,
peon,"labourer, navvy, pawn",We can't expect a bunch of ignorant peons to understand a machine like our boys.,0.0,,
twit,a person you think is stupid or foolish,"That's what the bullets are for, you twit!",0.0,,
charge,an attack by people or animals running very fast towards someone or something,Captain Walker led a charge straight into an enemy stronghold. How no army ever stood up to a charge of heavy horse.,0.0,,
scrap,to get rid of something no longer useful or wanted,Over 60% of all Georgians want to keep the present flag and only 29% want to scrap it. You're so concerned with squabbling for the scraps from Lonshanks's table...,0.0,,
scrapper,"someone who fights, often with fists","Now, this scrapper come to me.",0.0,,
aide-de-camp,a military officer whose job is to help an officer of higher rank,He became Napoleon's aide-de-camp in 1804.,0.0,,
truce,"an agreement between two people or groups involved in a war, fight, or disagreement to stop it for a period of time",So Longshanks invited them to talks of a truce. They should call a truce while negotiations are given a chance.,0.0,,
lull,a period of quiet or reduced activity,A lull in the conversation.,0.0,,
chevron,"a symbol in the shape of an upside-down 'V' that soldiers, police officers etc wear on their sleeve to show their rank",Who was in command? Did he have a scarlet chevron?,0.0,,
rally,to join other people in order to support someone or something when they are having problems,Supporters have been quick to rally behind the team. Do the nobbles rally?,0.0,,
indulge,to allow someone to do what they want or enjoy,He loves his wife and indulges his sons. I know it seems like a waste of good whiskey. Indulge me.,0.0,,
commoner,someone who does not belong to a royal or noble family,"One farmer of that shire was Malcolm Wallace, a commoner with his own lands.",0.0,,
rout,"to completely defeat someone in a battle, competition, or election","He was captured, and his army was routed. The Scottish rebels have routed one of my garrisons.",0.0,,
in droves,large numbers of people,People came in droves to see the show.,0.0,,
grovel,to show too much respect for someone or be too willing to obey someone,"I’ll apologize, but I won’t grovel just because I made a mistake. The French grovel to anyone with strength.",0.0,,
hail from,to be from a particular place,My father hails from Yorkshire. Inasmuch as you and your captains hail from a region long known to suppot the Balliol clan...,0.0,,
quell,to cause a violent situation to end,Mounted police were called in to quell the riot. And I leave you here to quell this little rebellion.,0.0,,
hold down,"to prevent something from developing, or to prevent someone from doing what they want","She proved that being a woman wouldn't hold her down. Here. You can do it, I'll hold him down.",0.0,,
scout,"a person, esp. a soldier, sent out to get information about the enemy make a search for someone or something in various places.",A scout for a Broadway show. My scouts tell me that he has not advanced.,0.0,,
on top of,in control of a situation and aware of changes in addition to,"The stock market has been unpredictable, and you really have to stay on top of things. I like to stay in shape. - Sure. Always stay on top of it. On top of everything else he's a brilliant linguist.",0.0,,
summon,"to find, call, or gather together something for use",I couldn't summon any strength. We require every soldier you can summon.,0.0,,
sniff out,to find something through smell; discover,Record companies are keen to sniff out new bands. I hope so. Because he's got a talent for sniffing out a lie.,0.0,,
sack,"to steal all the valuable things from a place and destroy it, usually during a war","Villages were sacked and burned by the raiders. If he can sack York, he can invade Lower England.",0.0,,
pledge,"a formal promise, or something that is given as a sign that you will keep a promise",A pledge of friendship.,0.0,,
buy off someone,to give someone money so that person will help you or let you do something that is not legal,A well-known business executive had bought off government inspectors. I shall offer a truce... and buy him off.,0.0,,
standard,"a flag used as the symbol of a person, group, or organization",A royal entourage comes... flying banners of truce... and the standards of Longshanks himself.,0.0,,
upstart,"a person, especially a young one, who has suddenly got power or an important position and takes advantage of this in an unpleasant way",What an arrogant little upstart!,0.0,,
dirtbag,A filthy or vile person.,How much would it cost to hire someone to get those dirtbags who killed my brother?,0.0,,
staging post,a place where travellers can stop during a long journey by land,Hong Kong is often used as a staging post on flights from Melbourne to London. York was the staging point for every invasion of my country.,0.0,,
heathen,an insulting word for someone who is not a Christian or a follower of another major established religion,Ah. My son's loyal wife returns unkilled by the heathen.,0.0,,
taint,"a trace of something bad, offensive, or harmful. a trace of infection, contamination, or the like. to infect, contaminate, corrupt, or spoil.","A man free from the taint of self-interest. William Wallace, you stand in taint of high treason.",0.0,,
get a grip on,to begin to understand a difficult situation and start to find a way of dealing with it,"We need to get a grip on how dangerous this situation is. - You can't just speak to any guy off the street. - Leon, get a grip.",0.0,,
whinny,"(of a horse) to make a soft sound, like a gentle neigh",Outside I heard my horse give a sudden whinny of fright.,0.0,,
sod,dirt with grass rooted in it,Greedy sod. Thinks he can just buy anybody. Truckloads of sod were needed to make the new lawn.,0.0,,
colt,"a young, male horse",,0.0,,
in a bad way,"to be ill, unhappy, or in a bad state",She was thin and tired-looking and generally in a bad way. We're in a bad way here. Send the cats.,0.0,,
bugger off,used for telling someone rudely to go away,"Bugger off, you tight bastard, will you?",0.0,,
mare,an adult female horse,,0.0,,
stallion,An adult male horse,,0.0,,
thoroughbred,a horse that belongs to a breed that is considered of very high quality,,0.0,,
foal,a young horse,Foals from mares vaccinated during pregnancy.,0.0,,
filly,A young female horse,,0.0,,
chamber,the part of a gun where you put the bullets a large room used for formal or public events.,The chambers of the heart. There's a round in the chamber. I heard it.,0.0,,
dish out,"to give something, or to tell something such as information or your opinions criticize, abuse, scold",Sometimes he's nasty and insulting. He can really dish out. His collaborators are dishing out misinformation. ... and I'll dish it out so you can have a little fun.,0.0,,
see off,"to make someone go away or leave a place, especially by chasing them",The dogs will soon see off any burglars. I'm not gonna let that bastard see me off.,0.0,,
squeamish,"easily shocked, over sensitive, excessively fastidious and easily disgusted","Dad was squeamish about killing roaches. Ted too squeamish to watch, is he? So squeamish he would only touch the toilet handle with his elbow",0.0,,
let alone,and to an even greater degree do something,"Brian would never even read a newspaper, let alone a book. You'll not get that one in a harness, let alone pulling a plow.",0.0,,
bottle out,to not do something because you do not feel brave enough,I thought that you two bottled out.,0.0,,
barmy,"behaving strangely, or very silly",Not another one of her barmy ideas!,0.0,,
fettle,"state or condition of health, fitness, wholeness, spirit, or form","""How was Jane?"" ""Oh, she was in fine fettle."" You've fettle enough for 20 men.",0.0,,
sour,"to become bad or unpleasant, or cause someone to feel bad or unhappy showing resentment or anger having an acid taste like lemon or vinegar","When the economy soured, donations to the charity dried up. Gently, Perkins. I don't wan't to sour him.",0.0,,
chuffed,very pleased about something,"See, what you done today, you and Joey, you're chuffed up now...",0.0,,
selfsame,exactly the same,The self-same car has been parked outside three times this week.,0.0,,
not a patch on,much less good than something,The film isn't a patch on the book.,0.0,,
muck about,"to waste time, especially when you should be doing something useful or paying attention","We just mucked around at home all weekend. Stop mucking about, you hear? You're in the army now, son.",0.0,,
jumpy,nervous or anxious,"Stop watching him; it makes him jumpy. Even when you haven’t done anything wrong, it still makes you jumpy. Just let him go, Dad. Don't care for him. He's too jumpy.",0.0,,
shy,"(of a horse) to move back suddenly, esp. from fear or surprise",He shies at every sound.,0.0,,
shoo,to tell an animal or a person to go away,"My husband shooed me out of the car. ""Shoo! Get out of here!""",0.0,,
prat,"to behave stupidly, especially when you should be behaving in a responsible way","Oh for goodness sake, stop pratting around and get on with your work! You're likelier lose an eye, Mr Lyons, if you carry on pratting me how to managa my son!",0.0,,
pennant,a flag shaped like a triangle,It's his campaign pennant.,0.0,,
dollop,"a shapeless mass or blob of something, especially soft food","A dollop of whipped cream. Not a dollop of ordinary sense, but that thick stubbornness.",0.0,,
splint,"a flat piece of material that does not bend, used to support a broken bone and to keep it in one position","Wear wrist splints for support No curbs, no splints. Good feet and teeth.",0.0,,
sprout,"to begin to grow, or to produce new growth","Our new seedlings have begun to sprout. I'd swear he would sprout wings and fly, if Albert told you so.",0.0,,
strapping,having a vigorously sturdy constitution,"A strapping lad. Big strapping German girls, eh?",0.0,,
strictly,in a strict manner; rigorously; stringently precisely or candidly; factually,"Strictly speaking (= Being completely accurate), pollen is like a virus in that both cannot reproduce independently. Strictly enforced. ... 'cause we've more than we need, strictly speaking.'",0.0,,
toll,"(of a large bell) to ring slowly and repeatedly a fixed charge or tax for a privilege, especially for passage across a bridge or along a road a charge for a service, such as a telephone call to another country an amount or extent of loss or destruction, as of life, health, or property",The town hall bell tolled at noon. Poverty and inadequate health care take their toll on the quality of a community's health,0.0,,
bivouac,"a temporary shelter or camp for sleeping in outside, not in the form of a tent",The children made a bivouac at the bottom of the garden with some poles and an old blanket ... at the moment bivoucked three miles to the east of the Menin Road.,0.0,,
canter,(of a horse) to move in a way that is like a slow gallop,"Forward, to canter! Canter, march!",0.0,,
rue,"any strongly scented plant of the genus Ruta, especially R. graveolens, having yellow flowers and leaves formerly used in medicine. to wish that (something) had never been done, taken place, etc, regret",She gave him a rueful smile. Make the Kaiser rue the day he dared to cross swords with us. I rue the day he was born.,0.0,,
scruple,"a strong belief about what is right or wrong that governs your actions, conscience a very small portion or amount. hesitate at.","He has scruples about going out with his students. Not having scruples, are you, Jim?",0.0,,
whimper,"to cry, making small, weak sounds",She whimpered pathetically.,0.0,,
stirrup,"one of a pair of metal pieces that hangs from the side of a horse’s saddle, which you put your foot in when riding","Buttons, helmet buckles, stirrup irons. Let them all go dull.",0.0,,
stamina,"the physical or mental strength to do something for a long time, esp. something difficult",The triathlon is a great test of stamina. He's got speed. I'll give him that. But has he got stamina?,0.0,,
buck,"(esp. of a horse) to jump into the air with the head down and the back arched the male of some horned animals, especially the fallow deer, roe deer, reindeer, and antelopes.",Don't buck and wriggle so.,0.0,,
git,"a person, especially a man, who is stupid or unpleasant","Get back, you stupid git!",0.0,,
round up,to bring animals or people together in one place for a particular purpose. to find and arrest people; to gather scattered cattle,I used to help round up the cows at milking time. The others you round up and take base camp. They'll pull guns. Dozens of political activists have been rounded up for questioning. ... this little round-up is having me writing reports all day.,0.0,,
galley,a kitchen in a ship or aircraft,This is our galley.,0.0,,
chomp,to bite on something and make a chewing movement with your teeth,He chomped on his potato chips.,0.0,,
bring someone around,to persuade someone to have the same opinion as you have,She tried to bring them around to accepting a settlement. Can't I just bring you around this way?,0.0,,
blitz,to defeat someone easily in a sports game or competition,You're too damn blitzed to seek it out.,0.0,,
seek,to try or attempt,The law must seek to protect the democratic rights of citizens. They sought to reassure people that their homes would be safe from the flood.,0.0,,
quail,"a small brown bird with a short tail, sometimes hunted as a sport and eaten as a food",It's time to find ourselves a little French quail.,0.0,,
bow,the front part of a ship,Bow up 15. Stern up 10.,0.0,,
rudder,flat blade at the back of a boat or aircraft that is moved from side to side in order to control the direction of travel,When the rudder breaks on one of those old tenders.,0.0,,
club together,each of them gives some money so that all the money collected can be used to buy something,We've all clubbed together. It's everything we have.,0.0,,
tender,a small boat used for carrying people or goods to larger boats in a port,,0.0,,
stow,to put something in a place where it can be kept safely,"Please stow your carry-on bags under the seat in front of you. Fish store, where we maintain and stow the torpedoes.",0.0,,
gash,to make a long deep cut in something,"She gashed her knee when she slipped on a rock. There was a heaviness to that strange, open space, with its single house and rusting truck and splintered buildings, a gash cut in the surface of the world. Three ribs cracked, and a gash on the head.",0.0,,
harrowing,extremely upsetting because connected with suffering,His book tells the harrowing story of how they climbed Mt. Everest. It'd be less harrowing if he got it over with sooner.,0.0,,
tugboat,a boat with a powerful engine which can change direction easily and is used to pull large ships into and out of port,Nice clean tugboat you got here.,0.0,,
derrière,a person's bottom,I'm not inclined to put anyone in prison for a poem about the size of a noble man derrière.,0.0,,
astern,"behind a ship, or going backwards when in a ship",Astern of her.,0.0,,
strut,"to walk with your chest pushed forward and your shoulders back to show you are proud protuberance, air pressure to swell; protuberate; bulge or spread out",If they strutted around naked.,0.0,,
bailiff,"an official who takes away someone's possessions when they owe money an official in a court of law who keeps order, looks after prisoners, etc.","They didn't pay their rent, so the landlord called/sent in the bailiffs. The bailiff came calling.",0.0,,
on the same page,having a similar understanding or way of thinking,Parents should be on the same page about raising their children.,0.0,,
keep someone at bay,to prevent someone from moving closer,He held the police at bay for several hours How much to keep them at bay?,0.0,,
luscious,having a pleasant sweet taste or smell having strong sexual appeal,Luscious fruit tarts and cream pies. Luscious telephone operators.,0.0,,
fruit,an offensive word for a man who is gay,"Leave me alone, you fruit.",0.0,,
rearguard,"the people who are the last in a row or group, especially in a military situation",... was only a skirmish against a rearguard of Frenchmen who occupied an orchard,0.0,,
gush,to flow or pour out suddenly in large amounts,Water gushed out of the broken pipe. The tender passion gushes out of a man's heart.,0.0,,
beaker,"a wide glass container with a flat bottom and an edge for pouring, used in science laboratories",Can I have a new beaker? This one is full of grease.,0.0,,
yokel,"a person who lives in an area far from cities, is not familiar with city ways",It is might well of you to fight yokels...,0.0,,
singular,"beyond or deviating from the usual or expected, unusual or strange; not ordinary being a single and separate person or thing",It was a building of singular grace and beauty. (=noticeable) ... whic took hum out of the Service in a rather singular manner. Can the singular person be understood apart from his culture? Every fact in the world might be singular...unlike any other fact and sole of its kind.,0.0,,
accoutrements,things that you have with you when you go somewhere or take part in a particular activity,"... with complete clothing, arms and accoutrements.",0.0,,
run the gauntlet,"to experience a difficult situation, for example a lot of questions, criticism, or attacks",The gauntlet was a common penalty for minor offences.,0.0,,
get wind of,"to learn a piece of information, esp. when it has been a secret, find out, hear gossip or rumors about",We have a crisis on our hands and don’t want the press to get wind of it. They'd wind of before we left Kilwangen.,0.0,,
slander,"a false, spoken statement about someone which damages that person's reputation, or the making of such a statement",Political campaigns are full of shameless slander. ... lived in such a way as to defy slander.,0.0,,
stance,a way of standing,He had the stance of a baseball player focusing on the ball. Shake hands. Take your stance.,0.0,,
blow over,to return to a state of calm after turmoil to surprise or astound someone,"We hope that this crisis will soon blow over. Don't worry, the storm will blow over eventually. He can stay there 'til matters have blown over. Her announcement just blew me over.",0.0,,
draw on,to take money from a bank account by writing a cheque,He paid with a cheque drawn on his company's account. You may draw on me.,0.0,,
chastise,to punish or criticize someone strongly,Economists like to chastise the public for not saving. As I cannot personally chastise this low-bred ruffian,0.0,,
pommel,the usually rounded part that sticks up at the front of a saddle,If I have to jump over a pommel horse...,0.0,,
glum,sad and discouraged,Marty nodded glumly. ... you seem particularly glum today?,0.0,,
woe,bad troubles causing much suffering,She poured out her tale of woe. But woe to the man who did not pay when the note became due.,0.0,,
valet,"the personal male servant of a wealthy man, or (in the present) an employee of a restaurant or hotel, who puts your car in a parking space for you",Valet parking is available for our customers.,0.0,,
rampage,"to move, run, and do things in a wild, violent way",Youths rampaged through the downtown district.,0.0,,
plunge,"to move or fall suddenly forward, down, or into something to go down suddenly to decrease by a great amount in a short time","Her car plunged off the cliff. Suddenly the animal plunged and reared, and the poor lad was thrown. The value of the company’s stock plunged after its chief executive was arrested. Plunge is often followed by an into phrase.",0.0,,
trinket,"a small, decorative object or item of jewelry of little value",... but some fine clothes and a few trinkets.,0.0,,
strychnine,a poisonous substance with a bitter taste that comes from the seeds of a tropical tree and is used as a rat poison,... as if I poured the strychnine for her myself.,0.0,,
procure,"to obtain something, esp. after an effort",We procured maps and directions from the tourist office. ... having procured His Majesty's permission to add the name... of his lovely lady to his own,0.0,,
wanton,"causing harm or acting without showing care for others, often intentionally sexually lawless or unrestrained; loose; lascivious; lewd extravagantly or excessively luxurious, as a person, manner of living, or style without motive, provocation, or justification",He displayed a wanton disregard for the facts. You wantonly caused me injury and dishonor.,0.0,,
writhe,"to make twisting movements with the body, esp. because you are feeling strong emotion","I close my eyes quickly, overwhelmed by the thought of my mother, writhing, and a dozen scientists in lab coats watching, scribbling impassively on notepads.",0.0,,
smirk,to smile in a way that expresses satisfaction with yourself,"When she told him he was cool, he just smirked. You have two seconds to wipe that smirk... off your face.",0.0,,
high,"feeling extremely happy, excited, or full of energy",He was so high after winning the race that he couldn’t sit still. You are so high.,0.0,,
genie,"a spirit, esp. a magical spirit who will do whatever the person who controls it asks it to do","Now the press has let the genie out of the bottle, the question is what happens next. Houston, the genie has left the bottle.",0.0,,
pissed,drunk; intoxicated,,0.0,,
pissed off,angry or annoyed,,0.0,,
demarcation,"establishing borders or limits between areas, groups, or things",Is it fair to say that Gauguin doesn't believe in any demarcation?... Between the real and the imagined.,0.0,,
touché,"used for admitting that someone has said something better, funnier, or cleverer in answer","- Cause it's like something Michael ""Dickwad"" Patrick would say. - Touché.",0.0,,
blinker,a light on the outside of a vehicle which turns on and off quickly to show other people you are going to turn in that direction,I just need to know where the blinkers?,0.0,,
spaz,"""spastic"" and ""one who is inept""","It's just the mailman, you spaz.",0.0,,
bleachers,(in a building or structure for viewing sports) seats that are usually not covered and often farthest from the action,I saw the bleachers in the street.,0.0,,
par usual,as usual,Par still at work par usual.,0.0,,
book,to officially accuse someone of a crime,Detectives booked him for resisting arrest.,0.0,,
goober,peanut,So... are you up for a truly hard question? Goobers or mints?,0.0,,
stick around,to stay somewhere and wait for someone or for something to happen,You go ahead – I’ll stick around until Candice shows up. Anna. Can you stick around for a minute?,0.0,,
round-heels,"slut, girl tips backwards easily i.e. is ready for sexual intercourse in the missionary position",She is a real roundheels. All my friends fucked her last night.,0.0,,
loaner,"something, as an automobile or appliance, that is lent especially to replace an item being serviced or repaired.",Thanks for the loaner. Keys are downstairs.,0.0,,
GPA,grade-point average,There's a test gonna be next week. And it will affect your GPAs.,0.0,,
outhouse,an outside toilet,"... residence, warehouse, farmhouse, hen house, outhouse...",0.0,,
gimmick,"ingenious or novel device, scheme, or stratagem, especially one designed to attract attention or increase appeal. a concealed, usually devious aspect or feature of something, as a plan or deal",The proposal to cut taxes was nothing but a campaign gimmick. A right or a left arm? With a gimmick on it?,0.0,,
remand,to send someone accused of committing a crime away from court until their trial begins,He was remanded on theft charges.,0.0,,
forcible entry,involving the use of force,There are no signs of forcible entry. No forcible entry was found.,0.0,,
ironclad,"completely definite, and able to be depended on covered or cased with iron plates, as a ship for naval warfare; armor-plated. very rigid or exacting; inflexible; unbreakable","An ironclad guarantee/agreement, an ironclad contract. You will hear ironclad proof of Richard KImble's guilt.",0.0,,
sprinkle,"to scatter (a liquid, powder, etc.) in drops or particles a light rain a small amount of something",Think me up some coffee and a doughnut some sprikles on top.,0.0,,
walk out,to suddenly leave a person who needs you or a situation that depends on you,Her husband had walked out on her a year before. I'm not walking out on you.,0.0,,
wipe out,"destruction, annihilation, or murder. a total or complete failure to make someone extremely tired",to suffer a wipeout in the stock market. The early-morning meetings really wipe me out. Their horses have to be wiped out by now.,0.0,,
poise,to carry or hold in equilibrium; balance,The lion was poised to strike. A new drug is poised to change these old methods forever. To be poised on the brink of disaster. A bird poised in flight; a helicopter poised overhead.,0.0,,
push someone's luck,to take a big risk by doing something that is likely to cause you trouble,"I think you're pushing your luck asking for another pay rise. You're pushing your luck, son.",0.0,,
spillway,"a passageway through which surplus water escapes from a reservoir, lake",Get them down here and drag the bottom of this spillway.,0.0,,
junket,an unnecessary trip by a government official which is paid for with public money,The senator is off on another junket to Hawaii at taxpayers’ expense. It was a junket the company paid for some doctors.,0.0,,
marshal,a government official who is responsible for putting the decisions of a law court into action,US marshals specialize in finding fugitives and escapees. US marshals! Everybody down!,0.0,,
stat,"an abbreviation of the Latin statim, ""immediately"", often used in medical contexts","Get this one into Room Four, stat.",0.0,,
rugged,(of land) uneven and wild; not easy to travel over,The terrain's too rugged here for good horses. Too high.,0.0,,
hinky,nervous or suspicious; acting suspiciously,This is hinky. He's a college graduate. He wouldn't go through all this security.,0.0,,
tongue-tied,"having difficulty in speaking, usually because of being nervous",I was practically tongue-tied. I can get tongue-tied in a number of situations.,0.0,,
sprain,to stretch or tear the tissue that limits the movement of a joint in the body,My dad fell and sprained his knee. I've sprained a lot of ankles. Mostly mine. You should ice this.,0.0,,
make oneself scarce,to stay away from a particular place in order to avoid a difficult or embarrassing situation,Dad's pretty mad – you'd better make yourself scarce. ... but made himself scarce when he saw the uproar,0.0,,
stilt,one of two long pieces of wood with supports for the feet which allow you to stand and walk high above the ground a piece of equipment used for making alcohol,to walk on stilts Affirmative action on stilts,0.0,,
stately,"having a dignified, unhurried, and grand manner; majestic in manner and appearance.","A stately old hotel. The pace, we're almost stately by comparison.",0.0,,
charter,"an act of renting a vehicle for a special use, esp. by a group of people document granting certain rights and privileges; contract; hire",Charters with low fares have attracted new airline passengers. The other two who split the charter.,0.0,,
come around,to change your opinion or decision,We were sure she'd come round in the end.,0.0,,
wobble,to shake or move from side to side in a way that shows a lack of balance,The table wobbles because its legs are uneven. Wobbled around on high heels.,0.0,,
caddy,caddie; to carry the golf clubs for a golf player,I used to caddie for young lawyers.,0.0,,
parlor,"a store that sells a stated product, or a business that provides a stated service",an ice cream parlor I was a delivery boy for a pizza parlour.,0.0,,
blowhard,someone who talks too much about themselves or the things they have achieved,"Listen, Capps is a tough guy, but he's also a blowhard.",0.0,,
put someone through school,to pay for someone to be a student at a school,Not since I put Lamar through law school.,0.0,,
loophole,something that has been left out of a law or legal document that people can use to avoid obeying it,He exploited a legal loophole in order to avoid paying child support. Next year they're closing this loophole.,0.0,,
condo,condominium; a building that contains several flats,Our condo is on fifth floor and Jack's is on the sixth. Tell my friend I went back to the condo.,0.0,,
punchy,expressing something effectively and with power,"a short punchy presentation/speech Sorry guys, I'm just a little punchy.",0.0,,
overpass,flyover; a bridge that takes one road above another road,... some things I would never spray-paint on an overpass,0.0,,
give someone notice,to tell someone that they must leave their job,They announced they were shutting the unit and gave all the staff notice. I've given notice at the school.,0.0,,
nutcase,crazy,Her husband's a nutcase. He's a trunk driver.,0.0,,
high-minded,showing strong moral principles,"I think it's high-minded, but I think it's fair-minded.",0.0,,
indict,to accuse someone officially of a serious crime,How about you kissing my ass from not indicting you as a co-conspirator.,0.0,,
last,"to continue to stay alive or be well, or to continue to be able to do a job, in spite of difficulties",He says that he can last it. What do you think?,0.0,,
do time,"Serve a prison sentence Serve a hitch in the military, especially if drafted. Get grounded.",This brother's doing time.,0.0,,
snitch,to turn informer; tattle to snatch or steal; pilfer,"If you keep snitching on your friends, you won’t have many left. Then get yourself another snitch. A person who tells someone in authority about something wrong you have done - snitcher.",0.0,,
stocky,a person who looks strong but is not tall,"One guy was stocky, looked like a wrestler.",0.0,,
felony,a serious crime such as murder or robbery,"robbery is a felony. It's still a felony, Mitch.",0.0,,
fed,"someone employed by the US government to do police work, especially an officer in the FBI","if those guys were fed, you better watch out for",0.0,,
run-in,"a disagreement or fight, especially with someone in an official position the approach to an action or event",A run-in with armed police in Rio. The final run-in to the marathon.,0.0,,
accident-prone,tending to have more accidents or mishaps than the average person,The lawyers at your firm sure as hell seem accident-prone.,0.0,,
pad,"a cushionlike mass of soft material used for comfort, protection, or stuffing. the foot, as of a fox, hare, or wolf. to expand or add to unnecessarily or dishonestly",He was charged with padding expense claims and telephone bills. They padded their bills to pad a speech; to pad an expense account,0.0,,
whacked,very tired. under the influence of drugs.,He whacked his newspaper on the back of the chair as he talked. - I wouldn't feel protected. - You'll feel whacked.,0.0,,
inducement,something that persuades someone to do something,"A financial inducement to join the company, just in case the usual inducements don't work.",0.0,,
APB,"all-points bulletin, an urgent message to all police officers in a particular area about a criminal they need to arrest",,0.0,,
waive,"officially ignore a rule, right, or claim refrain from insisting on or using (a right or claim)",Museum entrance fees have been waived (=not charged). It doesn't waive your rights to complete to confidentiality.,0.0,,
stop off,to visit somewhere before continuing to another place,We stopped off in town on the way to Jenni's house. I just stopped off to say goodbye.,0.0,,
beaut,something that you think is very good,"That shot was a real beaut! That kid's cut a deal, and I bet it's a beaut.",0.0,,
for the record,used for giving a piece of information that you want people to know,"It doesn't matter now, but just for the record – you were wrong. Shall we go and do this for the record?",0.0,,
setup,"a situation in which someone cheats or tricks you, especially by making you appear guilty when you are not. carriage of the body, especially : erect and soldierly bearing. the manner in which the elements or components of a machine, apparatus, or system are arranged, designed, or assembled.",The girl on the beach was a set-up.,0.0,,
subpoena,"under penalty, an official legal document that says you must come to a court of law to give information",Get the brother out with a subpoena follow him.,0.0,,
whip up,"rustle up, to prepare something to eat very quickly","If you're hungry, I can whip us up some lunch.",0.0,,
yank,to pull something or someone suddenly with a lot of force,They yanked open the screen door to run into the kitchen for cookies. ... and when we get the files yank him back,0.0,,
head off,to prevent something from taking place,The team would help developing countries head off such disasters. I'm trying to head off a legal action against us.,0.0,,
figure,"to compute or calculate (often followed by up) to conclude, judge, reason, or think about to be or appear, especially in a conspicuous or prominent way (of a situation, act, request, etc.) to be logical, expected, or reasonable",To figure up a total. I figured that you wanted me to stay. His name figures importantly in my report. He quit the job when he didn't get a raise—it figured.,0.0,,
jungle gym,climbing frame; a large structure designed for children to climb on,Set them there by the jungle gym.,0.0,,
fanny,the part of your body that you use for sitting on,Your fanny is uncanny.,0.0,,
uncanny,strange and mysterious,He predicted the winners of each race with uncanny accuracy.,0.0,,
flophouse,"a cheap hotel, especially one that has many beds in one room","Christ, what kind of flophouse you runnin' here, Jojo?",0.0,,
cramp,"a sudden, involuntary, spasmodic contraction of a muscle or group of muscles, especially of the extremities, sometimes with severe pain. to prevent something from developing as successfully as it could","Tight regulations will cramp fresh thinking in the financial services sector. I didn't mean to cramp you style, Sly.",0.0,,
tug,a short strong pull,John gave the dog's tail a gentle tug.,0.0,,
upstanding,honest and deserving respect standing up; erect,"Now, which one of you fine upstanding assholes wants to train the new guy?",0.0,,
coil,to wind something long and thin into a shape like a series of rings,Heavy gold chains were coiled around her long neck. Not until Nicole here learns how to coil a rope properly.,0.0,,
zone out,to stop paying attention to something,You're zone out all day.,0.0,,
puppy,"used instead of the name of something, especially when you do not know what the thing is called","Danni, what? The night's a puppy.",0.0,,
shot,a chance or attempt to do or get something,"This is her first shot at an international title. Maybe, I'll give it a shot for you.",0.0,,
thrush,an infectious disease in which you have white spots inside your mouth any of numerous small or medium-sized birds of an oscine family (Turdidae) which are mostly of a plain color often with spotted underparts and many of which are excellent singers a suppurative disorder of the feet in various animals (such as a horse),Llettin the horses stand in their own manure till they get thrush!,0.0,,
treble,the highest sounds in music,"My stereo has separate controls for the treble and the bass. Boy, these Barden University Treblemakers always thrill the judges.",0.0,,
fail-safe,designed to make a machine or piece of equipment stop working if part of it stops operating normally,A fail-safe mechanism. I'm recording this message as a failsafe.,0.0,,
baloney,nonsense or lies,You said my boobs look like baloney.,0.0,,
ding-a-ling,"a stupid, foolish, or eccentric person.",I will stop at nothing to take those ding-a-lings down.,0.0,,
scour,"to search a place or document thoroughly for something to remove (dirt, grease, etc.) from something by hard rubbing diarrhea in horses and cattle caused by intestinal infection.",Jake scoured auction sales for the furniture they needed. To scour grease from pots and pans.,0.0,,
trail,"a path through the countryside, especially one designed for walking for pleasure","We followed a winding trail into the mountains. Happy trails, man.",0.0,,
dues,"money that someone has to pay regularly, for example to be a member of a club or union",Members of the club pay $50 in annual dues. ... and start paying my dues,0.0,,
level,to destroy a building or group of buildings,Hundreds of houses were levelled by the tornado.,0.0,,
